,Body Damage,Head Damage,Rate of Fire (RPM),Magazine Size,Damage Per Magazine,Empty Reload Time (seconds),Tactical Reload Time (seconds),Shots Per Burst,Delay Until Next Burst (seconds),TTK vs. Light @ Body (seconds),STK (L),TTK vs. Medium @ Body (seconds),STK (M),TTK vs. Heavy @ Body (seconds),STK (H),TTK vs. Light @ Head (seconds),STK (L),TTK vs. Medium @ Head (seconds),STK (M),TTK vs. Heavy @ Head (seconds),STK (H),Damage Dropoff Minimum Range,Damage Dropoff Maximum Range,Damage Dropoff Modifier @ Max Range,Notes
LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,
93R,24,36,1020,21,504,1.75,1.45,3,0.235,0.82,7,1.29,11,1.76,15,0.47,5,0.82,7,1.23,10,15m,22.5m,~67%,
Dagger,50,-,-,-,-,-,-,-,-,-,3,-,5,-,7,-,-,-,-,-,-,-,-,-,
Dagger (Alt. w/ Backstab),320,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-,Deals 50 damage without backstab.
LH1,49,98,300,15,735,2.85,1.95,-,-,0.60,4,1.00,6,1.40,8,0.20,2,0.40,3,0.60,4,80m,100m,~72%,
M11,16,24,1002,40,640,1.85,1.55,-,-,0.54,10,0.90,16,1.26,22,0.36,7,0.60,11,0.84,15,10m,15m,~62%,
SH1900,150,-,100,2,300,2.95,2.55,-,-,0.00,1,0.60,2,3.55,3,-,-,-,-,-,-,-,-,-,Heavy TTK = time to fire 2 shots (0.6s) + empty reload time (2.96s) + time to fire 3rd shot (0.0s)
SR-84,115,230,40,6,690,3.35,1.95,-,-,1.50,2,3.00,3,4.50,4,0.00,1,1.50,2,1.50,2,80m,100m,~75%,
Sword,74,-,-,-,-,-,-,-,-,-,3,-,4,-,5,-,-,-,-,-,-,-,-,-,
Sword (Alt.),140,-,-,-,-,-,-,-,-,-,2,-,2,-,3,-,-,-,-,-,-,-,-,-,
Throwing Knives,60,90,400,-,-,-,-,2,0.7,1.00,3,2.00,5,2.15,6,0.15,2,1.00,3,1.15,4,-,-,-,"Sheet's rate column reads 400, more than 30% away from both neighbouring versions (140, 60) — which do not agree with each other either. Kept and used, but any change derived from it is low confidence."
Throwing Knives (Alt.),140,215,27.7,-,-,-,-,-,-,2.17,2,2.17,2,4.33,3,0.00,1,2.17,2,2.17,2,-,-,-,
V9S,36,54,430,20,720,1.5,1.25,-,-,0.56,5,0.84,7,1.26,10,0.28,3,0.56,5,0.84,7,10m,15m,~70%,
XP-54,18,27,850,30,540,2.5,2.25,-,-,0.56,9,0.92,14,1.34,20,0.35,6,0.64,10,0.85,13,15m,27.5m,~70%,
MEDIUM,,,,,,,,,,,,,,,,,,,,,,,,,
AKM,20,30,600,36,720,2.35,2.35,-,-,0.70,8,1.20,13,1.70,18,0.40,5,0.80,9,1.10,12,30m,37.5m,~55%,
CL-40 (Direct),110,-,70,4,440,-,-,-,-,0.86,2,1.71,3,2.57,4,-,-,-,-,-,-,-,-,-,(insert reload time stats here)
CL-40 (Splash),75,-,70,4,300,-,-,-,-,0.86,2,2.57,4,2.57,5,-,-,-,-,-,-,-,-,-,(insert reload time stats here)
FAMAS,23,34,1100,27,621,2.6,2.15,3,0.26,0.85,7,1.33,11,2.12,16,0.48,5,0.90,8,1.33,11,35m,47.5m,~50%,
FCAR,25,38,540,20,500,2.1,2.1,-,-,0.56,6,1.00,10,1.44,14,0.33,4,0.67,7,1.00,10,35m,40m,~50%,
Model 1887,128,-,67,6,768,-,-,-,-,0.90,2,0.90,2,1.79,3,-,-,-,-,-,-,15m,25m,~70%,(insert reload time stats here)
R.357,74,148,140,6,444,2.5,2.2,-,-,0.86,3,1.29,4,1.71,5,0.43,2,0.43,2,0.86,3,23m,40m,~45%,
Riot Shield,84,-,-,-,-,-,-,-,-,-,2,-,3,-,5,-,-,-,-,-,-,-,-,-,
HEAVY,,,,,,,,,,,,,,,,,,,,,,,,,
Flamethrower,30,-,170,30,900,3.55,3.55,-,-,1.41,5,2.82,9,3.88,12,-,-,-,-,-,-,-,-,-,(need information about whether or not the fire DoT sticks to the player while dealing damage with Flamethrower ammo)
KS-23,100,-,73,6,600,-,-,-,-,0.82,2,1.64,3,2.47,4,-,-,-,-,-,-,17.5m,22.5m,~60%,(insert reload time stats here)
Lewis Gun,25,38,500,47,1175,3.55,3.25,-,-,0.60,6,1.08,10,1.56,14,0.36,4,0.72,7,1.08,10,35m,40m,~67%,
M60,22,33,560,70,1540,3.55,3.55,-,-,0.64,7,1.18,12,1.61,16,0.43,5,0.75,8,1.07,11,25m,32.5m,~40%,
MGL-32,83,-,90,6,498,3.35,3.15,-,-,0.67,2,2.00,4,2.67,5,-,-,-,-,-,-,-,-,-,
SA1216,78,-,200,16,1248,3.25,2.35,4,1.1,0.30,2,0.90,4,2.30,5,-,-,-,-,-,-,10m,15m,~67%,
Sledgehammer,90,-,-,-,-,-,-,-,-,-,2,-,3,-,4,-,-,-,-,-,-,-,-,-,
Sledgehammer (Alt.),200,-,-,-,-,-,-,-,-,-,1,-,2,-,2,-,-,-,-,-,-,-,-,-,
