version,date,title,url
1.5.1,2024-01-19,Hotfix 1.5.1,https://www.reachthefinals.com/patchnotes/151
1.5.5,2024-01-24,Update 1.5.5,https://www.reachthefinals.com/patchnotes/155
1.6.0,2024-01-31,Mid-Season Update 1.6.0,https://www.reachthefinals.com/patchnotes/160
1.6.1,2024-02-02,Hotfix 1.6.1,https://www.reachthefinals.com/patchnotes/161
1.7.0,2024-02-08,Update 1.7.0,https://www.reachthefinals.com/patchnotes/170
1.8.0,2024-02-14,Update 1.8.0,https://www.reachthefinals.com/patchnotes/180
1.9.0,2024-02-21,Update 1.9.0,https://www.reachthefinals.com/patchnotes/190
1.10.0,2024-02-29,Update 1.10.0,https://www.reachthefinals.com/patchnotes/1100
1.11.0,2024-03-06,Update 1.11.0,https://www.reachthefinals.com/patchnotes/1110
2.0.0,2024-03-14,SEASON 2,https://www.reachthefinals.com/patchnotes/200
2.1.0,2024-03-20,Update 2.1.0,https://www.reachthefinals.com/patchnotes/210
2.2.0,2024-03-27,Update 2.2.0,https://www.reachthefinals.com/patchnotes/220
2.3.0,2024-04-04,Update 2.3.0,https://www.reachthefinals.com/patchnotes/230
2.4.0,2024-04-10,Update 2.4.0,https://www.reachthefinals.com/patchnotes/240
2.5.0,2024-04-17,Update 2.5.0,https://www.reachthefinals.com/patchnotes/250
2.6.0,2024-05-02,Update 2.6.0,https://www.reachthefinals.com/patchnotes/260
2.7.0,2024-05-08,Update 2.7.0,https://www.reachthefinals.com/patchnotes/270
2.8.0,2024-05-16,Update 2.8.0,https://www.reachthefinals.com/patchnotes/280
2.9.0,2024-05-22,Update 2.9.0,https://www.reachthefinals.com/patchnotes/290
2.10.0,2024-05-29,Update 2.10.0,https://www.reachthefinals.com/patchnotes/2100
2.11.0,2024-06-05,Update 2.11.0,https://www.reachthefinals.com/patchnotes/2110
3.0.0,2024-06-13,SEASON 3,https://www.reachthefinals.com/patchnotes/300
3.1.0,2024-06-19,Update 3.1.0,https://www.reachthefinals.com/patchnotes/310
3.2.0,2024-06-26,Update 3.2.0,https://www.reachthefinals.com/patchnotes/320
3.3.0,2024-07-03,Update 3.3.0,https://www.reachthefinals.com/patchnotes/330
3.4.0,2024-07-10,Update 3.4.0,https://www.reachthefinals.com/patchnotes/340
3.5.0,2024-07-18,Update 3.5.0,https://www.reachthefinals.com/patchnotes/350
3.6.0,2024-07-24,Update 3.6.0,https://www.reachthefinals.com/patchnotes/360
3.7.0,2024-07-31,Update 3.7.0,https://www.reachthefinals.com/patchnotes/370
3.8.0,2024-08-07,Update 3.8.0,https://www.reachthefinals.com/patchnotes/380
3.9.0,2024-08-14,Update 3.9.0,https://www.reachthefinals.com/patchnotes/390
3.10.0,2024-08-21,Update 3.10.0,https://www.reachthefinals.com/patchnotes/3100
3.11.0,2024-08-28,Update 3.11.0,https://www.reachthefinals.com/patchnotes/3110
3.12.0,2024-09-04,Update 3.12.0,https://www.reachthefinals.com/patchnotes/3120
3.13.0,2024-09-11,Update 3.13.0,https://www.reachthefinals.com/patchnotes/3130
