weapon,field,value,note,kind
93R,magazine_size,24,"Increased magazine size from 21 to 24",
Cerberus 12GA,body_dmg,99,"Decreased damage per pellet from 10 to 9, reducing a full shot's damage from 110 to 99. Recorded as the per-shot total to match the sheets' column, as the note's own wording gives it.",
Cerberus 12GA,,,"We've received a lot of negative feedback about the Cerberus more recently and its potential for very high burst damage at close range. We really want the Medium to have solid close range weapon options, but our data backs up the over-effectiveness of the Cerberus at close range, so this nudge to its damage will hopefully bring it more in line with other Medium weapons usage and effectiveness.",dev
KS-23,,,"Increased environmental damage from 700 to 1000, meaning it takes one less shot to fracture wall segments. Environmental damage is not a stat any data sheet records.",buff
KS-23,,,"This change is part of our recent steps to increase the viability of the KS-23 while retaining its unique character as a weapon.",dev
LH1,body_dmg,42,"Increased damage from 40 to 42",
LH1,,,"After our last round of changes to the LH1 the usage and effectiveness rates of the weapon dropped off a cliff, making it close to the worst Light weapon in the game. We believe this buff should address this issue and move the weapon back into a more viable tier for the Light, without going back to its previous overwhelming state.",dev
M134 Minigun,,,"Increased environmental damage from 25 to 30, meaning the Minigun can now more reliably remove three wall segments per full magazine",buff
Sledgehammer,body_dmg,100,"Decreased the damage of primary attacks from 115 to 100",
Sledgehammer (Alt.),body_dmg,154,"Decreased the damage of secondary attacks from 200 to 154",
Sledgehammer,,,"The Sledghammer has gradually become one of the most effective weapons in the game across World Tour, Quick Cash, Ranked and Power Shift, both in win rates but also efficacy metrics such as eliminations and damage done per round, to the point that it's essentially now a top three overall weapon. This has occurred at almost all skill tiers as well. This growth in effectiveness has also come with increased rates of negative sentiment from players on the receiving end of the Sledgehammer, who feel they can never compete against it at close range. It has also led to the Sledgehammer having win rates far above the target level for a balanced item. We want to address this status and feedback, but we're also keen to ensure melee is viable in THE FINALS, so we're cautious about changing the weapon too drastically. While the size of these damage changes initially looks quite large, they are very targeted. For the most part, they don't change the number of 'hits to kill' in most cases, with only one or two match-ups being affected. They do, however, reduce the number of possible attack combinations that can be combined with quick melee attacks to get kills in fewer hits, for example a primary attack plus a quick melee versus a Light. Following these changes, Quick Melee as a combo with the Sledgehammer should now be a sub-optimal approach, compared to simply using the Sledge's primary and secondary attacks. As always, we'll monitor the impact of these changes once live and adjust if necessary.",dev
